,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
129,0500000US25023,"Plymouth County, Massachusetts",267996,0.4,7.9,7,2.4,11.1,4.6,2.1,8.5,12.6,25.9,9.6,4.4,3.7,25,023
130,0500000US25009,"Essex County, Massachusetts",411557,0.4,6.4,10.5,2.5,11.3,4.6,1.8,6.6,13.4,24.4,9.3,5.3,3.5,25,009
131,0500000US25021,"Norfolk County, Massachusetts",379115,0.3,5.5,5.7,1.8,8.8,3.7,2.4,9.9,16.3,28.4,8.3,4.9,4.1,25,021
132,0500000US39035,"Cuyahoga County, Ohio",597311,0.3,4.6,12.1,2.7,9.7,4.9,1.7,7.9,11.9,25.9,9.8,4.5,4,39,035
133,0500000US40143,"Tulsa County, Oklahoma",314580,2.2,6.2,12,2.7,10.5,6,2.1,6.8,10.7,21.3,10.5,5.8,3.2,40,143
134,0500000US40109,"Oklahoma County, Oklahoma",383888,3,6.8,6.2,2.2,12.3,4.2,1.4,6.5,11.4,22.2,11.7,5.7,6.4,40,109
135,0500000US25027,"Worcester County, Massachusetts",426478,0.3,6,11,2.3,10.6,5.1,1.9,6.6,11.5,28.7,7.5,4.5,3.9,25,027
136,0500000US26125,"Oakland County, Michigan",650047,0.3,4.4,20.7,2.3,8.8,3.3,1.8,7.4,14.3,21.5,8.5,4.1,2.6,26,125
137,0500000US26163,"Wayne County, Michigan",753512,0.3,4.7,18.7,2.4,9.9,6.7,1.2,5.5,10.8,22.1,10,4.4,3.3,26,163
138,0500000US26081,"Kent County, Michigan",340436,0.9,5.8,18.3,4,11,3.8,1.3,6.4,9.9,23.6,8.4,4.7,1.7,26,081
139,0500000US26099,"Macomb County, Michigan",438680,0.1,5.4,21.4,1.9,10.8,3.9,1.1,5.8,10.3,20.4,10.5,4.6,3.8,26,099
140,0500000US39113,"Montgomery County, Ohio",252130,0.2,5.1,13.3,1.9,11.7,4.8,2.4,5.3,11.7,24.4,9.7,5.1,4.5,39,113
141,0500000US39153,"Summit County, Ohio",270582,0.2,4.9,15.5,2.6,11.7,5,1.7,7,10.9,23.6,9.2,4.6,3.2,39,153
