,Unnamed: 0,0,NAME,GEO_ID,DP03_0068E,DP03_0069E,DP03_0066E,DP03_0067E,DP03_0064E,DP03_0065E,DP03_0062E,DP03_0063E,DP03_0060E,DP03_0061E,DP03_0070E,DP03_0071E,DP03_0078E,DP03_0079E,DP03_0076E,DP03_0077E,DP03_0074E,DP03_0075E,DP03_0072E,DP03_0073E,DP03_0082E,DP03_0083E,DP03_0080E,DP03_0081E,DP03_0088E,DP03_0089E,DP03_0086E,DP03_0087E,DP03_0084E,DP03_0085E,DP03_0094E,DP03_0092E,DP03_0093E,DP03_0090E,DP03_0091E,DP03_0058E,DP03_0059E,DP03_0056E,DP03_0057E,DP03_0054E,DP03_0055E,DP03_0052E,DP03_0053E,DP03_0051E,state,place,CITY,STATE
477,478,478,"Lancaster city, California",1600000US0640130,5992,33725,10964,16565,34025,87522,57087,76458,3243,2525,3483,9936,2902,1543,4496,1055,4104,34939,1957,4181,4767,5188,3893,6066,23251,11370,64367,82871,2799,2230,43614,38404,51184,27389,50567,5721,6280,5198,7470,4182,2843,6197,2650,46309,6,40130,Lancaster, California
478,479,479,"Los Angeles city, California",1600000US0644000,125027,33067,316077,17218,1153496,97744,62474,96223,94405,135847,95961,9467,68720,70917,33262,22500,129515,817619,47157,4430,96504,130480,101484,132356,35089,564674,70932,108637,63181,98215,43684,31951,45165,47486,73416,156545,204035,163072,221926,120086,114122,95406,76849,1382293,6,44000,Los Angeles, California
479,480,480,"Menifee city, California",1600000US0646842,8151,28402,10903,20737,20864,89988,74684,89554,1991,1419,1458,8152,1045,1065,461,286,1427,20556,984,4724,3498,5724,1688,4053,29422,8091,86125,99070,1619,1117,49084,36524,60587,39834,61555,3960,6923,2342,5561,2244,1984,1231,992,28647,6,46842,Menifee, California
480,481,481,"Rancho Cucamonga city, California",1600000US0659451,9954,34049,14191,18345,48223,111630,91983,110570,4577,7249,2846,11645,2048,2900,1380,772,4063,44886,1014,3643,6121,12301,3218,5612,36097,11468,100620,118983,3961,6573,52296,42195,64534,57083,71411,7499,13936,4854,8266,3333,3461,1513,1666,56354,6,59451,Rancho Cucamonga, California
481,482,482,"Rialto city, California",1600000US0660466,3849,25008,9035,16717,21102,76756,62162,76637,1523,1027,2827,9111,1223,1807,839,678,5176,20672,1117,5967,3590,3321,1735,5074,20403,4813,71085,81784,1498,907,31895,27800,42208,31196,38066,3675,3899,2614,5913,1830,2788,743,1473,25485,6,60466,Rialto, California
482,483,483,"Richmond city, California",1600000US0660620,4906,32214,9117,18885,30480,86102,72270,87229,3356,2106,1821,9934,676,2169,924,1256,3546,24617,682,5070,3637,4186,3323,4214,30644,11440,73141,93390,2407,1825,46479,36661,49434,61040,67915,6123,5996,4574,5866,1194,3108,1579,2155,36057,6,60620,Richmond, California
483,484,484,"Riverside city, California",1600000US0662000,12229,36344,22364,18493,74422,83834,67850,86079,6514,6265,4406,10836,4237,4944,2014,1370,7069,62338,2025,3555,10092,11377,6906,11345,25441,25003,75360,93647,5198,4855,38480,29970,46746,41934,57545,13315,13458,10415,15764,6836,6664,4932,3178,87341,6,62000,Riverside, California
484,485,485,"Salinas city, California",1600000US0664224,5623,24607,10023,16094,34398,76165,60965,77378,1759,1731,1330,9652,3038,2606,621,1150,4096,32442,827,6794,4433,5391,4431,7836,20782,7439,61508,79060,1441,1495,35173,27129,35252,41013,52425,5114,6469,5623,9588,3325,3616,1539,1117,39881,6,64224,Salinas, California
485,486,486,"San Clemente city, California",1600000US0665084,4807,47239,7574,22444,17671,157657,104213,157001,2522,5431,357,10882,426,811,274,225,1098,16982,138,-999999999,1515,3666,1691,1352,57242,6231,134239,178762,2034,4988,53903,45216,92747,55021,92536,2660,4301,2207,2258,1312,1099,723,700,23213,6,65084,San Clemente, California
486,487,487,"Santa Cruz city, California",1600000US0669112,3470,47025,5140,23835,17904,102926,85758,113725,2145,3566,739,10795,607,414,350,24,2194,11108,443,4170,792,2367,1400,921,38487,10599,115965,144059,1526,2707,56384,22881,77843,42398,76702,2158,3475,2104,2150,2125,1248,1970,766,21707,6,69112,Santa Cruz, California
