,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
128,"Billings city, Montana",1600000US3006550,59054,58998,88029,58998,-888888888.0,56,28975,57266,1732,7663,6667,29624,29084,46415,29624,15507,12027,30,06550
129,"Sparks city, Nevada",1600000US3268400,53030,52704,81164,52704,-888888888.0,326,28134,50565,2139,8116,4595,25489,24486,42191,25531,16683,11084,32,68400
130,"Spring Valley CDP, Nevada",1600000US3268585,118715,118668,174370,118668,-888888888.0,47,55655,112394,6274,15092,10542,54747,51636,86586,54747,25634,19285,32,68585
131,"Union City city, New Jersey",1600000US3474630,37305,37206,52579,37206,-888888888.0,99,15274,36464,742,6881,4204,-999999999,-999999999,-999999999,-999999999,9557,6419,34,74630
132,"Syracuse city, New York",1600000US3673000,65219,65129,114871,65129,-888888888.0,90,49652,57551,7578,10424,6938,31782,28640,59977,31782,18147,12858,36,73000
133,"Durham city, North Carolina",1600000US3719000,155325,155211,222863,155211,-888888888.0,114,67538,150131,5080,21545,17112,80526,77664,118920,80526,32386,27477,37,19000
134,"Akron city, Ohio",1600000US3901000,102548,102473,160479,102473,-888888888.0,75,57931,94171,8302,15047,12130,50623,46936,83771,50623,23237,16984,39,01000
135,"Knoxville city, Tennessee",1600000US4740000,101551,101309,157170,101309,-888888888.0,242,55619,96085,5224,11077,8168,50505,48216,81062,50505,20883,16014,47,40000
136,"Murfreesboro city, Tennessee",1600000US4751560,81560,81165,112622,81165,-888888888.0,395,31062,76076,5089,10475,7475,39193,37592,58557,39414,19784,15914,47,51560
137,"Abilene city, Texas",1600000US4801000,60668,56807,98003,56807,-888888888.0,3861,37335,54566,2241,9973,7341,27685,26432,47560,28307,17762,13348,48,01000
138,"Corpus Christi city, Texas",1600000US4817000,160889,159814,255216,159814,-888888888.0,1075,94327,150590,9224,24019,14562,73076,68871,131268,73207,50084,32951,48,17000
139,"Dallas city, Texas",1600000US4819000,712622,712295,1046240,712295,-888888888.0,327,333618,681537,30758,112685,67520,320981,304207,529582,321056,205479,130908,48,19000
140,"Flower Mound town, Texas",1600000US4826232,42403,42403,58975,42403,-888888888.0,0,16572,40438,1965,-999999999,-999999999,17951,17078,29035,17951,-999999999,-999999999,48,26232
