,STATE,zipcode,N1,N02650,A02650,avg_income
398,AL,36107,2920.0,2920.0,90008.0,30.824657534246576
399,AL,36108,7370.0,7370.0,209621.0,28.442469470827678
400,AL,36109,10990.0,10990.0,547310.0,49.8007279344859
401,AL,36110,4530.0,4530.0,123801.0,27.32913907284768
402,AL,36111,5700.0,5700.0,423292.0,74.2617543859649
403,AL,36113,340.0,340.0,22818.0,67.11176470588235
404,AL,36115,250.0,250.0,12959.0,51.836
405,AL,36116,18270.0,18270.0,769093.0,42.095949644225506
406,AL,36117,22550.0,22550.0,1678655.0,74.44146341463414
407,AL,36201,6380.0,6380.0,197951.0,31.02680250783699
408,AL,36203,8380.0,8380.0,433856.0,51.7727923627685
409,AL,36205,330.0,330.0,15660.0,47.45454545454545
410,AL,36206,4530.0,4530.0,183950.0,40.60706401766004
411,AL,36207,8320.0,8320.0,516549.0,62.08521634615385
412,AL,36250,2100.0,2100.0,112538.0,53.58952380952381
413,AL,36251,2070.0,2070.0,94279.0,45.545410628019326
414,AL,36255,380.0,380.0,37226.0,97.96315789473684
415,AL,36256,610.0,610.0,27593.0,45.234426229508195
416,AL,36258,650.0,650.0,29301.0,45.07846153846154
417,AL,36260,1640.0,1640.0,70742.0,43.135365853658534
418,AL,36262,520.0,520.0,21443.0,41.23653846153846
419,AL,36263,230.0,230.0,12480.0,54.26086956521739
420,AL,36264,3380.0,3380.0,166316.0,49.20591715976332
421,AL,36265,7710.0,7710.0,377956.0,49.02153047989624
422,AL,36266,2190.0,2190.0,96000.0,43.83561643835616
423,AL,36268,2240.0,2240.0,99704.0,44.510714285714286
424,AL,36269,460.0,460.0,20539.0,44.65
425,AL,36271,2460.0,2460.0,121983.0,49.58658536585366
426,AL,36272,4710.0,4710.0,204804.0,43.4828025477707
427,AL,36273,1050.0,1050.0,53817.0,51.254285714285714
428,AL,36274,4260.0,4260.0,168098.0,39.45962441314554
429,AL,36276,850.0,850.0,35019.0,41.19882352941176
430,AL,36277,2330.0,2330.0,103368.0,44.363948497854075
431,AL,36278,1910.0,1910.0,109862.0,57.51937172774869
432,AL,36279,1040.0,1040.0,48673.0,46.800961538461536
433,AL,36280,1430.0,1430.0,65429.0,45.75454545454546
434,AL,36301,15360.0,15360.0,719841.0,46.8646484375
435,AL,36303,12610.0,12610.0,747784.0,59.30087232355274
436,AL,36305,6970.0,6970.0,608621.0,87.32008608321377
437,AL,36310,2380.0,2380.0,109952.0,46.19831932773109
438,AL,36311,980.0,980.0,46638.0,47.589795918367344
439,AL,36312,2350.0,2350.0,119446.0,50.82808510638298
440,AL,36314,220.0,220.0,11044.0,50.2
441,AL,36316,730.0,730.0,39381.0,53.946575342465756
442,AL,36317,170.0,170.0,6637.0,39.04117647058823
443,AL,36318,500.0,500.0,24547.0,49.094
444,AL,36319,910.0,910.0,47624.0,52.33406593406593
445,AL,36320,1320.0,1320.0,52993.0,40.14621212121212
446,AL,36321,790.0,790.0,34886.0,44.15949367088608
447,AL,36322,3400.0,3400.0,146178.0,42.993529411764705
448,AL,36323,2880.0,2880.0,129352.0,44.91388888888889
449,AL,36330,15080.0,15080.0,891746.0,59.134350132626
450,AL,36340,1980.0,1980.0,88796.0,44.846464646464646
451,AL,36343,570.0,570.0,21858.0,38.34736842105263
452,AL,36344,2120.0,2120.0,95084.0,44.85094339622641
453,AL,36345,3540.0,3540.0,196313.0,55.45564971751413
454,AL,36346,560.0,560.0,26684.0,47.65
455,AL,36350,2990.0,2990.0,153869.0,51.46120401337792
456,AL,36351,1410.0,1410.0,79006.0,56.03262411347518
457,AL,36352,2190.0,2190.0,132380.0,60.44748858447488
